timestamp_s,y_position_mm,extrusion_steps_s
367911.464212,0.010,0.0
367911.465224,0.010,0.0
367911.466213,0.010,0.0
367911.467184,0.010,0.0
367911.468212,0.010,0.0
367911.469246,0.010,0.0
367911.470212,0.010,0.0
367911.471223,0.010,0.0
367911.472214,0.010,0.0
367911.473182,0.010,0.0
367911.474212,0.010,0.0
367911.475224,0.010,0.0
367911.476173,0.010,0.0
367911.477218,0.010,0.0
367911.478208,0.010,0.0
367911.479217,0.010,0.0
367911.480207,0.010,0.0
367911.481223,0.010,0.0
367911.482212,0.010,0.0
367911.483184,0.010,0.0
367911.484213,0.010,0.0
367911.485223,0.010,0.0
367911.486213,0.010,0.0
367911.487223,0.010,0.0
367911.488182,0.010,0.0
367911.489188,0.010,0.0
367911.490207,0.010,0.0
367911.491183,0.010,0.0
367911.492206,0.010,0.0
367911.493245,0.010,0.0
367911.494213,0.010,0.0
367911.495222,0.010,0.0
367911.496197,0.010,0.0
367911.497223,0.010,0.0
367911.498213,0.010,0.0
367911.499184,0.010,0.0
367911.500165,0.010,0.0
367911.501222,0.010,0.0
367911.502212,0.010,0.0
367911.503223,0.010,0.0
367911.504231,0.010,0.0
367911.505209,0.010,0.0
367911.506211,0.010,0.0
367911.507208,0.010,0.0
367911.508163,0.010,0.0
367911.509214,0.010,0.0
367911.510214,0.010,0.0
